Partlist

Exported from Preselector.sch at 9/13/2019 6:56 PM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value          Device          Package      Library           Sheet
L23      100n 1206      L-US1206        C1206        NewSDR            2
L24      100n 1206      L-US1206        C1206        NewSDR            2
L25      100n 1206      L-US1206        C1206        NewSDR            2
L26      100n 1206      L-US1206        C1206        NewSDR            2
L31      BLM31PG121SN1L WE-CBF_1206     1206         wuerth-elektronik 1
LED1     LTST-C170GKT   LEDCHIPLED_0805 CHIPLED_0805 led               1
LNA_1    SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      3
LNA_2    SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      3
LNA_3    SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      3
LNA_4    SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      4
LNA_5    SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      4
LNA_6    SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      4
LNA_7    SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      5
LNA_8    SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      5
LNA_9    SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      5
LNA_10   SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      2
LNA_11   SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      2
LNA_12   SPF-5043Z      SPF-5043Z       SPF-5043Z    SeniorDesign      2
Q2       FDV303N        NMOSSOT23       SOT-23       zetex             1
R4       100k           R-US_R0201      R0201        rcl               1
R13      100k           R-US_R0201      R0201        rcl               1
R201     560            R-US_R0603      R0603        rcl               1
R205     182            R-US_R0603      R0603        rcl               1
R206     53.6k          R-US_R0603      R0603        rcl               1
SAW_1    SXBP-140+      SXBP-140+       SXBP-140+    SeniorDesign      3
SAW_2    TA147FD        TA147FD         TA147FD      SeniorDesign      3
SAW_3    TA147FD        TA147FD         TA147FD      SeniorDesign      3
SAW_4    TA147FD        TA147FD         TA147FD      SeniorDesign      3
SAW_5    TA0576A        TA0576A         TA0576A      SeniorDesign      4
SAW_6    TA0576A        TA0576A         TA0576A      SeniorDesign      4
SAW_7    TA0576A        TA0576A         TA0576A      SeniorDesign      4
SAW_8    TA0576A        TA0576A         TA0576A      SeniorDesign      4
SAW_9    TA1914A        TA1914A         TA1914A      SeniorDesign      5
SAW_10   TA1914A        TA1914A         TA1914A      SeniorDesign      5
SAW_11   TA1914A        TA1914A         TA1914A      SeniorDesign      5
SAW_12   TA1914A        TA1914A         TA1914A      SeniorDesign      5
TP10     TPSQB1,27      TPSQB1,27       B1,27        testpad           1
X1       0733660061     BU-SMA-V        BU-SMA-V     con-coax          3
X2       0733660061     BU-SMA-V        BU-SMA-V     con-coax          3
X3       0733660061     BU-SMA-V        BU-SMA-V     con-coax          4
X4       0733660061     BU-SMA-V        BU-SMA-V     con-coax          4
X5       0733660061     BU-SMA-V        BU-SMA-V     con-coax          5
X6       0733660061     BU-SMA-V        BU-SMA-V     con-coax          5
X7       0733660061     BU-SMA-V        BU-SMA-V     con-coax          2
X8       0733660061     BU-SMA-V        BU-SMA-V     con-coax          2
