"Part";"Value";"Device";"Package";"Description";"CURRENT";"DESCRIPTION";"HEIGHT";"INDUCTANCE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PN";"RS_PART_NUMBER";"RS_PRICE-STOCK";"TP_SIGNAL_NAME";"VALUE";"VOLATAGE";
"C50";"4.2p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C51";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C52";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C53";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C54";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C55";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C56";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C57";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C58";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C59";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C60";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C61";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C62";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C63";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C64";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C65";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C66";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C67";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C68";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C69";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C70";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C71";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C72";"4.2p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C73";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C74";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C75";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C76";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C77";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C78";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C79";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C80";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C81";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C82";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C83";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C84";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C85";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C86";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C87";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C88";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C89";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C90";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C91";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C92";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C93";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C94";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C95";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C96";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C97";"470n";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C98";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C99";"NFM21PS106B0J3D";"NFM21PS";"NFM21PS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C100";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C101";"4.2p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C102";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C103";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C104";"1.3p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C105";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C106";"4.2p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C107";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C108";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C109";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C110";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C459";"";"NFM31PC276B0J3L";"NFM31PC276";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C481";"33u";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C482";"33u";"C-USC1206K";"C1206K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C483";"EEE-FK1V470P";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"EEE-FK1V470P";"";"";"";"";"";
"C484";"EEE-FK1V470P";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"EEE-FK1V470P";"";"";"";"";"";
"C489";".1u 50V";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C490";".1u 50V";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C491";".1u 50V";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C492";".1u 50V";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C493";".1u 50V";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C500";"NFM41PC155B1E3";"NFM41PC155B1E3";"NFM1806";"Murata Feed Through Capacitor 1806 SMD";"6A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1.5uF";"25VDC";
"IC1";"SCA-4-10+";"SCA-4-10+";"SCA-4-10+";"Surface Mount Power Splitter/Combiner";"";"Surface Mount Power Splitter/Combiner";"4.83mm";"";"Mini-Circuits";"SCA-4-10+";"";"";"";"";"";"";"";"";"";"";"";"";
"IC58";"LMZ31707RVQ";"LMZ31707RVQ";"RVQ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"22-27-2021-02";"22-27-2021-02";"6410-02";"CONNECTOR";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"L1";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L2";"56n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L3";"47n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L4";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L5";"56n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L6";"47n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L7";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L8";"56n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L9";"47n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L10";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L11";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L12";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L13";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L14";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L15";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L16";"1.2u";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L17";"3.9n";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L18";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L19";"1.2u";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L20";"3.9u";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L21";"100n";"L-US1206";"C1206";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L22";"100n";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L23";"1.2u";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L24";"3.9n";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L25";"1.2u";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L26";"3.9n";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L27";"3.9u";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L28";"100n";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L29";"1.2u";"L-US0603";"C0603K";"SMD Chip Inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
