"Part";"Value";"Device";"Package";"Description";"CURRENT";"DESCRIPTION";"HEIGHT";"INDUCTANCE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PN";"RS_PART_NUMBER";"RS_PRICE-STOCK";"TP_SIGNAL_NAME";"VALUE";"VOLATAGE";
"R10";"10.0k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R11";"50";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R12";"52.3k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"50";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R14";"10.0k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"50";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"52.3k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R17";"50";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R19";"10.0k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R22";"52.3k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R23";"10.0k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R25";"52.3k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R26";"10.0k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R28";"52.3k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R29";"10.0k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R31";"52.3k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R32";"10.0k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R34";"52.3k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R35";"10.0k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R37";"52.3k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R38";"10.0k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R201";"560";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R205";"182";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R206";"53.6k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_1";"SXBP-140+";"SXBP-140+";"SXBP-140+";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_2";"TA147FD";"TA147FD";"TA147FD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_3";"TA147FD";"TA147FD";"TA147FD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_4";"TA147FD";"TA147FD";"TA147FD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_5";"TA0576A";"TA0576A";"TA0576A";"SAW Filter 221.6 MHz SMD 5.0x5.0mm";"";"SAW Filter 221.6 MHz SMD 5.0x5.0mm";"1.7mm";"";"TAI-SAW Technology";"TA0576A";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_6";"TA0576A";"TA0576A";"TA0576A";"SAW Filter 221.6 MHz SMD 5.0x5.0mm";"";"SAW Filter 221.6 MHz SMD 5.0x5.0mm";"1.7mm";"";"TAI-SAW Technology";"TA0576A";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_7";"TA0576A";"TA0576A";"TA0576A";"SAW Filter 221.6 MHz SMD 5.0x5.0mm";"";"SAW Filter 221.6 MHz SMD 5.0x5.0mm";"1.7mm";"";"TAI-SAW Technology";"TA0576A";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_8";"TA0576A";"TA0576A";"TA0576A";"SAW Filter 221.6 MHz SMD 5.0x5.0mm";"";"SAW Filter 221.6 MHz SMD 5.0x5.0mm";"1.7mm";"";"TAI-SAW Technology";"TA0576A";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_9";"TA1914A";"TA1914A";"TA1914A";"TA1914A - 440MHz SAW Filter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_10";"TA1914A";"TA1914A";"TA1914A";"TA1914A - 440MHz SAW Filter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_11";"TA1914A";"TA1914A";"TA1914A";"TA1914A - 440MHz SAW Filter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SAW_12";"TA1914A";"TA1914A";"TA1914A";"TA1914A - 440MHz SAW Filter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP10";"TPSQB1,27";"TPSQB1,27";"B1,27";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_1";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_2";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_3";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_4";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_5";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_6";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_7";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_8";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_9";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_10";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP_11";"TPTP20SQ";"TPTP20SQ";"TP20SQ";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X3";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X4";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X5";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X6";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X7";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X8";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X9";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X10";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X11";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X12";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X13";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X14";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X15";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X16";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X17";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X18";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X19";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X20";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X21";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X22";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X23";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X24";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X25";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X26";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X27";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X28";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X29";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X30";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X33";"0733660061";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
